DATE,MONTH,FY,MC,MACHINE_NO,OPERATION_RATE
29-Feb-24,FEB,FY_23,TE,TE1,0%
29-Feb-24,FEB,FY_23,TE,TE2,21%
29-Feb-24,FEB,FY_23,TE,TE3,30%
29-Feb-24,FEB,FY_23,TE,TE4,46%
29-Feb-24,FEB,FY_23,TS,TS1,0%
29-Feb-24,FEB,FY_23,TS,TS2,0%
29-Feb-24,FEB,FY_23,TS,TS3,0%
29-Feb-24,FEB,FY_23,TS,TS4,88%
29-Feb-24,FEB,FY_23,TH,TH1,65%
29-Feb-24,FEB,FY_23,TH,TH2,74%
29-Feb-24,FEB,FY_23,TH,TH4,24%
29-Feb-24,FEB,FY_23,TH,TH5,0%
29-Feb-24,FEB,FY_23,TENSILE,TENSILE,0%
29-Feb-24,FEB,FY_23,VI,VI,7%
29-Feb-24,FEB,FY_23,CMM,CMM,3%
29-Feb-24,FEB,FY_23,CHILLER ,CHILLER 10T,100%
29-Feb-24,FEB,FY_23,CHILLER ,CHILLER 15T NO.1,3%
29-Feb-24,FEB,FY_23,CHILLER ,CHILLER 15T NO.2,100%
30-Mar-24,MAR,FY_23,TE,TE1,0%
30-Mar-24,MAR,FY_23,TE,TE2,35%
30-Mar-24,MAR,FY_23,TE,TE3,43%
30-Mar-24,MAR,FY_23,TE,TE4,32%
30-Mar-24,MAR,FY_23,TS,TS1,63%
30-Mar-24,MAR,FY_23,TS,TS2,0%
30-Mar-24,MAR,FY_23,TS,TS3,0%
30-Mar-24,MAR,FY_23,TS,TS4,100%
30-Mar-24,MAR,FY_23,TH,TH1,12%
30-Mar-24,MAR,FY_23,TH,TH2,50%
30-Mar-24,MAR,FY_23,TH,TH4,15%
30-Mar-24,MAR,FY_23,TH,TH5,48%
30-Mar-24,MAR,FY_23,TENSILE,TENSILE,1%
30-Mar-24,MAR,FY_23,VI,VI,1%
30-Mar-24,MAR,FY_23,CMM,CMM,2%
30-Mar-24,MAR,FY_23,CHILLER ,CHILLER 10T,100%
30-Mar-24,MAR,FY_23,CHILLER ,CHILLER 15T NO.1,100%
30-Mar-24,MAR,FY_23,CHILLER ,CHILLER 15T NO.2,100%
30-Apr-24,APR,FY_24,TE,TE1,47%
30-Apr-24,APR,FY_24,TE,TE2,29%
30-Apr-24,APR,FY_24,TE,TE3,58%
30-Apr-24,APR,FY_24,TE,TE4,42%
30-Apr-24,APR,FY_24,TS,TS1,85%
30-Apr-24,APR,FY_24,TS,TS2,0%
30-Apr-24,APR,FY_24,TS,TS3,0%
30-Apr-24,APR,FY_24,TS,TS4,92%
30-Apr-24,APR,FY_24,TH,TH1,0%
30-Apr-24,APR,FY_24,TH,TH2,38%
30-Apr-24,APR,FY_24,TH,TH4,0%
30-Apr-24,APR,FY_24,TH,TH5,14%
30-Apr-24,APR,FY_24,TENSILE,TENSILE,0%
30-Apr-24,APR,FY_24,VI,VI,3%
30-Apr-24,APR,FY_24,CMM,CMM,1%
30-Apr-24,APR,FY_24,CHILLER ,CHILLER 10T,71%
30-Apr-24,APR,FY_24,CHILLER ,CHILLER 15T NO.1,78%
30-Apr-24,APR,FY_24,CHILLER ,CHILLER 15T NO.2,78%
30-Apr-24,APR,FY_24,DURA,DURA_TURN,78%
30-Apr-24,APR,FY_24,DURA,DURA_DIM,78%
30-Apr-24,APR,FY_24,DURA,DURA_LIGHT,0%
30-Apr-24,APR,FY_24,DURA,DURA_STOP,0%
30-Apr-24,APR,FY_24,DURA,DURA_DOOR,0%
30-Apr-24,APR,FY_24,DURA,DURA_STEER,0%
30-Apr-24,APR,FY_24,DURA,DURA_BUTTON,0%
30-May-24,MAY,FY_24,TE,TE1,60%
30-May-24,MAY,FY_24,TE,TE2,43%
30-May-24,MAY,FY_24,TE,TE3,42%
30-May-24,MAY,FY_24,TE,TE4,81%
30-May-24,MAY,FY_24,TS,TS1,35%
30-May-24,MAY,FY_24,TS,TS2,0%
30-May-24,MAY,FY_24,TS,TS3,0%
30-May-24,MAY,FY_24,TS,TS4,95%
30-May-24,MAY,FY_24,TH,TH1,1%
30-May-24,MAY,FY_24,TH,TH2,52%
30-May-24,MAY,FY_24,TH,TH4,31%
30-May-24,MAY,FY_24,TH,TH5,64%
30-May-24,MAY,FY_24,TENSILE,TENSILE,0.1%
30-May-24,MAY,FY_24,VI,VI,48%
30-May-24,MAY,FY_24,CMM,CMM,1%
30-May-24,MAY,FY_24,CHILLER ,CHILLER 10T,96%
30-May-24,MAY,FY_24,CHILLER ,CHILLER 15T NO.1,96%
30-May-24,MAY,FY_24,CHILLER ,CHILLER 15T NO.2,96%
30-May-24,MAY,FY_24,DURA,DURA_TURN,100%
30-May-24,MAY,FY_24,DURA,DURA_DIM,100%
30-May-24,MAY,FY_24,DURA,DURA_LIGHT,0%
30-May-24,MAY,FY_24,DURA,DURA_STOP,16%
30-May-24,MAY,FY_24,DURA,DURA_DOOR,0%
30-May-24,MAY,FY_24,DURA,DURA_STEER,58%
30-May-24,MAY,FY_24,DURA,DURA_BUTTON,0%
30-Jun-24,JUN,FY_24,TE,TE1,52%
30-Jun-24,JUN,FY_24,TE,TE2,31%
30-Jun-24,JUN,FY_24,TE,TE3,83%
30-Jun-24,JUN,FY_24,TE,TE4,99%
30-Jun-24,JUN,FY_24,TS,TS1,65%
30-Jun-24,JUN,FY_24,TS,TS2,0%
30-Jun-24,JUN,FY_24,TS,TS3,0%
30-Jun-24,JUN,FY_24,TS,TS4,93%
30-Jun-24,JUN,FY_24,TH,TH1,73%
30-Jun-24,JUN,FY_24,TH,TH2,56%
30-Jun-24,JUN,FY_24,TH,TH4,55%
30-Jun-24,JUN,FY_24,TH,TH5,61%
30-Jun-24,JUN,FY_24,TENSILE,TENSILE,0%
30-Jun-24,JUN,FY_24,VI,VI,26%
30-Jun-24,JUN,FY_24,CMM,CMM,2%
